date,open,high,low,close,volume
2017-02-24,1948000,1955000,1903000,1911000,185900
2017-02-27,1901000,1907000,1885000,1903000,180600
2017-02-28,1903000,1938000,1898000,1922000,301700
2017-03-02,1921000,1993000,1921000,1986000,424900
2017-03-03,1967000,1986000,1958000,1981000,254100
2017-03-06,1961000,2011000,1961000,2004000,244600
2017-03-07,1990000,2016000,1990000,2010000,211000
2017-03-08,2010000,2031000,2007000,2010000,242800
2017-03-09,2010000,2015000,2001000,2010000,287400
2017-03-10,1998000,2021000,1993000,2009000,204500
2017-03-13,2002000,2049000,2002000,2030000,148400
2017-03-14,2031000,2077000,2025000,2068000,226500
2017-03-15,2040000,2072000,2040000,2070000,191700
2017-03-16,2090000,2109000,2077000,2092000,198600
