datetime,ticks,open,high,low,close,volume,buy/sell,bid/ask
2016-08-01 23:05:56,72,2181.5,2181.5,2181.25,2181.25,1500,0.918158568,1.141315015
2016-08-01 23:06:26,80,2181.25,2181.5,2181,2181.5,1500,6.8125,1.141315015
2016-08-01 23:06:45,92,2181.5,2181.75,2181.25,2181.75,1500,11.82051282,1.083664729
2016-08-01 23:07:18,43,2181.75,2182.25,2181.75,2182,1500,8.375,1.081949733
2016-08-01 23:07:28,29,2182,2182,2181.75,2182,1500,0.435406699,0.958399768
2016-08-01 23:07:38,56,2182,2182,2181.5,2181.5,1500,0.858736059,1.182096664
2016-08-01 23:08:06,119,2181.5,2181.5,2181,2181,1500,1.029769959,1.027995334
2016-08-01 23:08:49,40,2181,2181.25,2180.75,2181,1500,0.467710372,0.867820493
2016-08-01 23:09:00,40,2181,2181.25,2180.75,2181,1500,0.861042184,1.298547919
2016-08-01 23:09:11,70,2181,2181,2180.5,2180.75,1500,0.736111111,0.816745898
2016-08-01 23:09:35,59,2180.75,2181.25,2180.75,2181,1500,0.884422111,1.235402468
2016-08-01 23:10:04,87,2181,2181.75,2180.75,2181.5,1500,5.048387097,0.831475506
2016-08-01 23:10:48,47,2181.5,2181.75,2181.25,2181.5,1500,0.527494908,1.168270072
2016-08-01 23:11:11,67,2181.5,2181.75,2181.25,2181.75,1500,3.155124654,0.867851277
2016-08-01 23:11:55,81,2181.75,2182,2181.5,2181.5,1500,1.029769959,0.910964055
2016-08-01 23:12:42,35,2181.5,2181.5,2181.25,2181.5,1500,0.351351351,0.82213785
2016-08-01 23:13:06,72,2181.5,2181.5,2181.25,2181.25,1500,0.085383502,0.994639376
2016-08-01 23:14:09,25,2181.25,2181.75,2181.25,2181.5,1500,2.826530612,0.801674747
2016-08-01 23:14:20,70,2181.5,2181.75,2181,2181,1500,0.215559157,1.023832221
2016-08-01 23:15:16,44,2181,2181,2180.75,2181,1500,2.125,0.937173556
2016-08-01 23:15:33,69,2181,2181.25,2180.75,2181,1500,0.734104046,1.116003788
2016-08-01 23:16:08,24,2181,2181.25,2180.75,2181,1500,1.935420744,1.213505795
2016-08-01 23:16:24,40,2181,2181,2180.75,2180.75,1500,3.731861199,1.319843805
2016-08-01 23:16:59,19,2180.75,2180.75,2180.5,2180.75,1500,1.083333333,1.183604445
2016-08-01 23:17:04,47,2180.75,2181,2180.5,2181,1500,1.542372881,1.183604445
2016-08-01 23:17:38,17,2181,2181,2180.5,2181,1500,0.532175689,0.992508284
2016-08-01 23:17:45,15,2181,2181,2180.75,2181,1500,24.86206897,1.094923778
2016-08-01 23:17:54,37,2181,2181.25,2180.75,2180.75,1500,2.024193548,0.853964632
2016-08-01 23:18:25,27,2180.75,2180.75,2180.5,2180.5,1500,0.228501229,1.352224576
2016-08-01 23:18:34,33,2180.5,2180.5,2180.25,2180.25,1500,0.037344398,1.087815587
2016-08-01 23:18:43,47,2180.25,2180.25,2180,2180,1500,0.516683519,1.212205955
2016-08-01 23:18:51,54,2180,2180.25,2180,2180.25,1500,0.193317422,1.350457424
2016-08-01 23:19:11,18,2180.25,2180.25,2180,2180.25,1500,106.1428571,0.980666102
2016-08-01 23:19:20,40,2180.25,2180.5,2180,2180.25,1500,1.232142857,1.198028075
2016-08-01 23:19:36,32,2180.25,2180.25,2179.75,2180,1500,0.483679525,1.197073008
2016-08-01 23:19:46,113,2180,2180.25,2179.75,2179.75,1500,0.536885246,1.088309637
2016-08-01 23:20:39,65,2179.75,2180,2179.5,2179.75,1500,1.958579882,0.975883513
2016-08-01 23:20:57,56,2179.75,2180,2179.5,2180,1500,1.232142857,0.876885505
2016-08-01 23:21:29,42,2180,2180.25,2179.75,2180,1500,2.073770492,0.819618913
2016-08-01 23:21:52,60,2180,2180.25,2179.75,2180,1500,0.391465677,0.800333241
2016-08-01 23:22:42,52,2180,2180.5,2179.75,2180.25,1500,1.396166134,0.720836797
2016-08-01 23:23:31,60,2180.25,2180.75,2180,2180.5,1500,6.462686567,0.926010331
2016-08-01 23:24:31,52,2180.5,2180.75,2180,2180.25,1500,0.512096774,0.81425918
2016-08-01 23:25:00,43,2180.25,2180.5,2180,2180.5,1500,0.614639397,0.914516868
2016-08-01 23:25:39,33,2180.5,2180.75,2180.25,2180.25,1500,0.554404145,0.812277453
2016-08-01 23:25:59,17,2180.25,2180.75,2180.25,2180.5,1500,0.877346683,0.979360646
2016-08-01 23:26:13,29,2180.5,2180.5,2180,2180,1500,0.023890785,0.923076923
2016-08-01 23:26:27,49,2180,2180,2179.75,2180,1500,1.369668246,1.12686952
2016-08-01 23:26:50,75,2180,2180,2179.5,2179.75,1500,0.420454545,1.349763033
2016-08-01 23:27:36,50,2179.75,2179.75,2179.25,2179.5,1500,1.918287938,1.349763033
2016-08-01 23:28:00,77,2179.5,2179.5,2179,2179.25,1500,0.937984496,1.498644986
2016-08-01 23:28:25,62,2179.25,2179.25,2179,2179,1500,9.067114094,1.52574103
2016-08-01 23:28:37,46,2179,2179.75,2179,2179.5,1500,4.033557047,1.27359882
2016-08-01 23:28:56,81,2179.5,2179.75,2179.25,2179.75,1500,27.30188679,0.904682779
2016-08-01 23:29:52,54,2179.75,2180,2179.5,2179.75,1500,0.805054152,0.904682779
2016-08-01 23:30:10,47,2179.75,2180,2179.75,2179.75,1500,2.3632287,0.8496483
